ID,Title,CaseURL,Source,Source URL (if applicable),Related Part (if applicable),Added By,Display,Locomotion,Movement,LocusofControl,EncodingChannel,Anchor,VisualMark,Note,SkippingTool,Overview
1,Wealth shown to scale,https://mkorostoff.github.io/1-pixel-wealth/,Encounter Online,-,-,,Screen,Stationary,Non-locomoter movement,User-driven,"Length, Time, Physical efforts",Familiar Concepts,Bar,Compare wealth with cancer curation fee,,
2,8 BILLION people in perspective,https://www.youtube.com/watch?v=Sxejy6jd_zc,Encounter Online,-,The Vis in the Beginning,,Screen,Virtual Locomotion,None (watch),Author-driven,"Time, Area",Familiar Objects,Unit,,,
3,"Risk, cycling and denominator neglect",https://web.archive.org/web/20221206154157/https://www.gicentre.net/blog/2013/11/24/risk-cycling-and-denominator-neglect,Encounter Online,-,The Vis in the End,,Screen,Stationary,Non-locomoter movement,User-driven,"Time, Physical efforts, Area",None,Unit,,,
4,Walkable bar chart,https://x.com/DavarianBaldwin/status/1388840756895526912,Encounter Online,-,-,,Physicalization,Physical Locomotion,None (watch),User-driven,"Length, Time, Physical efforts",None,Bar,,,
5,Musée de l'Homme timeline,https://photos.app.goo.gl/NXDXytV2GacZCeB87,Museum and Exhibition,-,-,,Screen,Stationary,Non-locomoter movement,User-driven,"Length, Time, Physical efforts",None,Line,,,
6,The historical cost of light,https://pudding.cool/2020/12/lighting-cost/,Related Work,https://idvxlab.com/papers/2021CHI_DataStory_Lan.pdf,-,Leni,Screen,Stationary,Non-locomoter movement,User-driven,"Time, Length, Physical efforts",Familiar Concepts,Bar,,,
7,Hiking path of the solar system,https://de.wikipedia.org/wiki/Planetenweg_Uetliberg#,Encounter Online,-,-,,Physicalization,Physical Locomotion,Locomotor movement,User-driven,"Time, Length, Physical efforts",Familiar Objects,Line,The data be understood through lengthy is the distance,,
8,Trail of Time,https://drive.google.com/file/d/1-ufNRroUkNT-u-71VPyPnYTiixOmomQg/view?usp=drive_link,Related Work,https://arxiv.org/abs/2404.01485,-,,Physicalization,Physical Locomotion,Locomotor movement,User-driven,"Time, Length, Physical efforts",Familiar Objects,Line,,,
9,The Fallen of World War II,https://www.youtube.com/watch?v=DwKPFT-RioU&t=340s,Encounter Online,,9min15s,,Screen,Stationary,None (watch),Author-driven,"Time, Length",None,Bar,combined with zoom,,
10,The Deep Sea,https://neal.fun/deep-sea/,Encounter Online,,,,Screen,Stationary,Non-locomoter movement,User-driven,"Time, Length, Physical efforts",None,Concrete Objects?,"lengthy pan is for depth of sea, but vis is for both depth and animals",,
11,"The actual number of Americans jailed or imprisoned, about 2.3 million",https://mkorostoff.github.io/incarceration-in-real-numbers/,Encounter Online,,,Leni,Screen,Stationary,Non-locomoter movement,User-driven,"Time, Physical efforts, Length",Familiar Concepts,Unit,,,
12,A VR 360 video case from an experiment,https://immersivedatavideo.github.io/,Related Work,https://yleni.github.io/pdfs/pvis23_vrdatavideo.pdf,The video named as Bar-Chart-Anchor-Condition,Leni,VR,Virtual Locomotion,None (watch),Author-driven,"Time, Length",Familiar Objects,Bar,,,
13,Timeline-of-the-universe-from-the-big-bang-to-the-death-of-our-sun,https://www.universetoday.com/123701/timeline-of-the-universe-from-the-big-bang-to-the-death-of-our-sun/,Encounter Online,,,,Screen,Stationary,Non-locomoter movement,User-driven,"Physical efforts, Length, Time",None,Bar,,,
14,All People on One Page,https://www.worldometers.info/watch/world-population/,Encounter Online,https://www.worldometers.info/watch/world-population/,-,Aymeric,Screen,Stationary,Non-locomoter movement,User-driven,"Time, Physical efforts, Area",None,Unit,The "Watch as we increase" option is related to Real-Time Data Visualization,,
15,Death in Syria,https://www.nytimes.com/interactive/2015/09/14/world/middleeast/syria-war-deaths.html,Encounter Online,,The Vis in the Beginning,,Screen,Stationary,Non-locomoter movement,User-driven,"Time, Physical efforts, Units",None,Unit,,,
16,7 billion people on 1 page,https://www.7billionworld.com/,Encounter Online,,,,Screen,Stationary,Non-locomoter movement,User-driven,"Time, Area, Physical efforts",None,Bar,,,
17,Walk approach to and away from a screen,,Brainstorm,,,,Screen,Physical Locomotion,Locomotor movement,User-driven,"Time, Area, Physical efforts",None,Line,,,
18,Take an Elevator,,Brainstorm,,,,Screen,Physical Locomotion,Non-locomoter movement,Author-driven,"Time, Area, Physical efforts",None,Bar,,,
19,Peephole interaction,,Brainstorm,,,,Screen,Physical Locomotion,Locomotor movement,User-driven,"Time, Area, Physical efforts",None,Line,,,
20,Click mouth for earning money,,Brainstorm,,,,Screen,Stationary,Non-locomoter movement,User-driven,"Time, Area, Physical efforts",None,Line,,,
21,Adapting avatar size to scale of data: move slow for small values and fater for lager ones.,,Brainstorm,,,,VR,Physical Locomotion,Locomotor movement,User-driven,"Time, Area, Physical efforts",Familiar Objects,Bar,,,
22,VR roller coaster,,Brainstorm,,,,VR,Virtual Locomotion,Non-locomoter movement,Author-driven,"Time, Area, Physical efforts",None,Concrete Objects?,,,
23,Spaceship traveling to see planets,,Brainstorm,,,,VR,Virtual Locomotion,Non-locomoter movement,Author-driven,"Time, Area, Physical efforts",None,Unit,,,
24,Hiking or cycling with AR to show planets,,Brainstorm,,,,Augmented Reality,Physical Locomotion,Locomotor movement,User-driven,"Time, Area, Physical efforts",Familiar Objects,Bar,,,
25,Sand represents population and drop through different diameters,,Brainstorm,,,,Physicalization,Stationary,None (watch),Author-driven,"Time, Area, Physical efforts",None,Bar,,,
26,Tissue paper box,,Brainstorm,,,,Physicalization,Stationary,Non-locomoter movement,User-driven,"Time, Area, Physical efforts",None,Unit,,,
