ID,Title,Brief_Description,Image,Link,Display,Spatial_Channel,Visceral_Channel,Viewer_Locomotion_Mode,Object_Moving_Mode,Body_Movement,Progress_Review,Shortcut,Anchor_Representation,Anchor_Space,Narrative,Motion_Startegies
C1,Wealth Shown To Scale,"Scrollable long blocks, representing wealth of richests people in USA",C1,https://eattherichtextformat.github.io/1-pixel-wealth/,2D screens,"Length, Area","Effort, Time",Stationary,Moving,Partial-body,None,Speed Up,"Visual, Verbal","Physical, Data",Informative,Interactive panning
C2,8 Billion People In Perspective,"A 3D animations where the camera moves through the entire world population as a huge
crowd assembled in a vast area",C2,https://www.youtube.com/watch?v=Sxejy6jd_zc,2D screens,Area,Time,Stationary,Moving,None,None,"Speed Up, Jump",Visual,"Physical, Data",None,Animated panning
C3,"Risk, Cycling And Denominator Neglect",Scrollable cluster of blocks representing bike journeys,C3,https://www.gicentre.net/blog/2013/11/24/risk-cycling-and-denominator-neglect,2D screens,Area,Time,Stationary,Moving,Partial-body,None,Speed Up,None,None,None,Interactive panning
C4,Yale'S $32 Billion Endowment,"A 200-meter-long strip painted on a street, comparing Yale University's $32 billion endowment to
its contributions to its home city of New Haven",C4,https://x.com/DavarianBaldwin/status/1388840756895526912,Physical media,Length,"Effort, Time",Physical locomotion,Still,Full-body,None,None,None,None,None,Walkable marks
C5,Des Dinosaures ? L'Homme (From Dinosaurs To Humans),An animated timeline visualization of the universe in a monitor goes forward as the viewer turns the crank ,C5,https://www.fleurdepapier.com/realisations/2015/musee-de-l-homme/des-dinosaures-a-l-homme/,2D screens,Length,"Effort, Time",Stationary,Moving,Partial-body,Counter,Speed Up,None,None,None,Interactive panning
C6,The Historical Cost Of Light,Scrollable pixels representing the cost of light during different eras,C6,https://pudding.cool/2020/12/lighting-cost/,2D screens,Area,"Effort, Time",Stationary,Moving,Partial-body,Counter,Speed Up,Verbal,Data,"Informative, Filler",Interactive panning
C7,Hiking Path Of The Solar System,A hiking trail featuring a scale model of the solar system where every meter corresponds to one million kilometers of actual distance.,C7,https://de.wikipedia.org/wiki/Planetenweg_Uetliberg#,Physical media,Length,"Effort, Time",Physical locomotion,Still,Full-body,Milestones,None,None,None,Informative,Walkable marks
C8,Trail Of Time,Walkable path illustrating the time elapsed leading to the Great Canyon formation,C8,https://www.nps.gov/grca/planyourvisit/the-trail-of-time.htm,Physical media,Length,"Effort, Time",Physical locomotion,Still,Full-body,Milestones,None,None,None,Informative,Walkable marks
C9,The Fallen Of World War Ii,Video moving along vertical bars representing the number of death soldiers during World War II,C9,https://www.youtube.com/watch?v=DwKPFT-RioU&t=340s,2D screens,Length,None,Stationary,Moving,None,None,Speed Up,None,None,Informative,Animated panning
C10,The Deep Sea,A scrollable infographics showing how deep the sea is and animals living at different depth levels,C10,https://neal.fun/deep-sea/,2D screens,Length,"Effort, Time",Stationary,Moving,Partial-body,Counter,Speed Up,Verbal,Data,"Informative, Filler",Interactive panning
C11,The Actual Number Of Americans Jailed Or Imprisoned,Scrollable pictograms representing the actual number of Americans imprisoned,C11,https://mkorostoff.github.io/incarceration-in-real-numbers/,2D screens,Area,"Effort, Time",Stationary,Moving,Partial-body,Counter,Speed Up,Verbal,Data,Informative,Interactive panning
